"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"2",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"3",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"4",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"5",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"6",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"7",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"8",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"9",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"10",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"11",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"12",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"13",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"14",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"15",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"16",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"17",6.98569162970822,0,6.98569162970822,6.98569162970822,0,0,0,0,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822
"18",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"19",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"20",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
"21",0,6.98569162970822,0,0,6.98569162970822,6.98569162970822,6.98569162970822,6.98569162970822,0,0,0,6.98569162970822,0,0,0,0,6.98569162970822,0,0,0,0
