Lat,Long,Year
40.23138025,-105.3141495,2010
39.77221476,-105.2296518,2010
39.84929041,-105.2620661,2009
39.85264314,-105.3092247,2010
39.61840821,-105.47844,2010
39.67444868,-105.2774249,2010
39.84153887,-105.2711768,2011
39.61552644,-105.4736786,2011
40.23404606,-105.3009606,2011
40.20073452,-105.3381769,2011
39.8607814,-105.3150952,2012
39.81338826,-105.2874812,2012
40.19729477,-105.3050747,2013
39.93896827,-105.2612608,2013
40.599,-105.3761905,2013
39.96740346,-105.2612285,2008
39.83985581,-105.2703987,2009
40.20978124,-105.3377518,2010
40.03596506,-105.3850202,2008
40.17724056,-105.3148276,2009
39.87290683,-105.2917521,2009
