pop1,pop2,prpshrd
1,2,0.2230231
1,3,0.2192054
1,4,0.2319011
1,5,0.2222075
1,6,0.2243454
1,7,0.2201493
1,8,0.2229819
1,9,0.2132458
1,10,0.2252088
1,11,0.2138709
1,12,0.2117499
1,13,0.2275259
1,14,0.213476
1,15,0.2364214
1,16,0.2300562
1,17,0.2195842
1,18,0.225294
1,19,0.2321248
1,20,0.2250575
1,21,0.2202666
1,22,0.2195326
1,23,0.2095647
1,26,0.2207479
1,27,0.2255919
1,28,0.2263474
1,29,0.2100502
1,30,0.2307122
1,31,0.2384416
1,32,0.2229484
1,33,0.2131315
1,34,0.2300968
1,35,0.2262369
1,36,0.226968
1,37,0.22583
1,38,0.2269441
1,39,0.2186084
1,40,0.219586
1,41,0.2256445
1,42,0.2035723
1,43,0.2121737
1,44,0.2327078
1,45,0.2420919
1,46,0.2070649
1,47,0.2300114
1,48,0.2151199
1,49,0.2125892
1,50,0.2361345
1,51,0.2223204
1,52,0.2230602
1,53,0.2327959
1,54,0.234342
1,55,0.2122342
56,1,0.2253349
2,3,0.2290755
2,4,0.2330128
2,5,0.2360071
2,6,0.2298789
2,7,0.2238545
2,8,0.218308
2,9,0.2102011
2,10,0.2062867
2,11,0.1914181
2,12,0.2265639
2,13,0.2377342
2,14,0.2036193
2,15,0.2260378
2,16,0.2253289
2,17,0.2268773
2,18,0.2293271
2,19,0.1438693
2,20,0.2323732
2,21,0.2247388
2,22,0.2187158
2,23,0.2250891
2,26,0.2339648
2,27,0.2339807
2,28,0.2232716
2,29,0.2207821
2,30,0.2239789
2,31,0.2446559
2,32,0.2194665
2,33,0.2248943
2,34,0.233892
2,35,0.2330656
2,36,0.2343131
2,37,0.2270912
2,38,0.2421722
2,39,0.2202782
2,40,0.2280276
2,41,0.2363851
2,42,0.2146854
2,43,0.2186295
2,44,0.2302296
2,45,0.2442668
2,46,0.2329933
2,47,0.2271557
2,48,0.2286718
2,49,0.2282587
2,50,0.237267
2,51,0.2285862
2,52,0.2264658
2,53,0.2276219
2,54,0.2131428
2,55,0.1518155
2,56,0.2353693
3,4,0.2319847
3,5,0.2293287
3,6,0.2239234
3,7,0.2291265
3,8,0.2323376
3,9,0.2316897
3,10,0.2323857
3,11,0.2277326
3,12,0.24
3,13,0.2385571
3,14,0.2194865
3,15,0.2316354
3,16,0.2244505
3,17,0.2293226
3,18,0.2217468
3,19,0.2345306
3,20,0.2188823
3,21,0.2309423
3,22,0.2220068
3,23,0.2209543
3,26,0.2269827
3,27,0.2366957
3,28,0.2249479
3,29,0.2254361
3,30,0.2255188
3,31,0.244291
3,32,0.2243059
3,33,0.224639
3,34,0.1413949
3,35,0.2284932
3,36,0.2348612
3,37,0.2197128
3,38,0.2363466
3,39,0.2228686
3,40,0.1958854
3,41,0.1987279
3,42,0.2206467
3,43,0.2270646
3,44,0.2282329
3,45,0.1869736
3,46,0.2410547
3,47,0.2324561
3,48,0.2187416
3,49,0.2270531
3,50,0.23482
3,51,0.227692
3,52,0.2323061
3,53,0.2310517
3,54,0.2268592
3,55,0.2281462
3,56,0.2233867
4,5,0.226218
4,6,0.2110998
4,7,0.1958435
4,8,0.2388553
4,9,0.2347102
4,10,0.2305299
4,11,0.2231958
4,12,0.2284142
4,13,0.2332715
4,14,0.2177207
4,15,0.2424398
4,16,0.2202685
4,17,0.2265921
4,18,0.2423679
4,19,0.2414876
4,20,0.2146705
4,21,0.2393201
4,22,0.2228289
4,23,0.2253896
4,26,0.2039323
4,27,0.2189136
4,28,0.2276155
4,29,0.214143
4,30,0.2347246
4,31,0.248528
4,32,0.2201007
4,33,0.2105678
4,34,0.2251209
4,35,0.140342
4,36,0.2258421
4,37,0.2246113
4,38,0.2066525
4,39,0.2125792
4,40,0.1839154
4,41,0.2292176
4,42,0.232106
4,43,0.218118
4,44,0.2341587
4,45,0.244146
4,46,0.2287097
4,47,0.1919064
4,48,0.2266353
4,49,0.2062377
4,50,0.2353998
4,51,0.1998532
4,52,0.1824299
4,53,0.2475353
4,54,0.2457055
4,55,0.2247858
4,56,0.2040971
5,6,0.1446832
5,7,0.217134
5,8,0.2322764
5,9,0.2303655
5,10,0.2346893
5,11,0.2268617
5,12,0.2226486
5,13,0.2315305
5,14,0.220778
5,15,0.2422685
5,16,0.211745
5,17,0.1937178
5,18,0.2421574
5,19,0.2348682
5,20,0.2249384
5,21,0.2301332
5,22,0.2171707
5,23,0.2204995
5,26,0.1786997
5,27,0.2136459
5,28,0.2297247
5,29,0.2177441
5,30,0.2303376
5,31,0.2451131
5,32,0.225126
5,33,0.2198629
5,34,0.2315393
5,35,0.2318926
5,36,0.1870614
5,37,0.228507
5,38,0.2103545
5,39,0.2183933
5,40,0.2231025
5,41,0.2242913
5,42,0.2219733
5,43,0.2151615
5,44,0.2339054
5,45,0.2364385
5,46,0.2067186
5,47,0.1988366
5,48,0.2229577
5,49,0.2192912
5,50,0.2339653
5,51,0.2196315
5,52,0.2206427
5,53,0.2413567
5,54,0.2360193
5,55,0.2238923
5,56,0.2139199
6,7,0.2119676
6,8,0.2401046
6,9,0.2326705
6,10,0.2318059
6,11,0.2155963
6,12,0.234428
6,13,0.232055
6,14,0.2190224
6,15,0.2329204
6,16,0.1761397
6,17,0.2190075
6,18,0.235104
6,19,0.2314429
6,20,0.2167635
6,21,0.2323918
6,22,0.2079525
6,23,0.2213573
6,26,0.1369138
6,27,0.2142334
6,28,0.2269071
6,29,0.2197572
6,30,0.2246292
6,31,0.238324
6,32,0.2172777
6,33,0.2122824
6,34,0.2310974
6,35,0.2165788
6,36,0.1426193
6,37,0.2313747
6,38,0.2131297
6,39,0.2175434
6,40,0.2156182
6,41,0.220226
6,42,0.2289268
6,43,0.2221152
6,44,0.2311967
6,45,0.2361202
6,46,0.227005
6,47,0.1500097
6,48,0.2226853
6,49,0.215939
6,50,0.2273963
6,51,0.215528
6,52,0.2057407
6,53,0.2299166
6,54,0.2286375
6,55,0.221095
6,56,0.2120224
7,8,0.2193199
7,9,0.2128762
7,10,0.2291961
7,11,0.1500612
7,12,0.1973811
7,13,0.2285587
7,14,0.212541
7,15,0.2392488
7,16,0.2158014
7,17,0.2177699
7,18,0.2396279
7,19,0.2321959
7,20,0.2210908
7,21,0.218476
7,22,0.2148531
7,23,0.2022108
7,26,0.1859042
7,27,0.2172432
7,28,0.2293782
7,29,0.2043945
7,30,0.2272367
7,31,0.2409656
7,32,0.2172124
7,33,0.1972151
7,34,0.2326042
7,35,0.2145278
7,36,0.2188851
7,37,0.2205898
7,38,0.2189531
7,39,0.2032457
7,40,0.2234155
7,41,0.2301183
7,42,0.2027027
7,43,0.2142665
7,44,0.2286299
7,45,0.2380233
7,46,0.208337
7,47,0.2033552
7,48,0.2211607
7,49,0.1677547
7,50,0.2311417
7,51,0.1875705
7,52,0.1546112
7,53,0.232578
7,54,0.234013
7,55,0.211601
7,56,0.2077478
8,9,0.1445312
8,10,0.1349871
8,11,0.218034
8,12,0.1607775
8,13,0.2388443
8,14,0.1331737
8,15,0.2365523
8,16,0.2353678
8,17,0.2235162
8,18,0.2407618
8,19,0.2321291
8,20,0.2360481
8,21,0.1519851
8,22,0.2170539
8,23,0.1831593
8,26,0.2322097
8,27,0.2168915
8,28,0.1890261
8,29,0.1906966
8,30,0.210032
8,31,0.2419447
8,32,0.2063015
8,33,0.171709
8,34,0.2320535
8,35,0.2371153
8,36,0.2349349
8,37,0.205608
8,38,0.2277059
8,39,0.188771
8,40,0.2241441
8,41,0.2236345
8,42,0.1156421
8,43,0.2069122
8,44,0.2411142
8,45,0.2467617
8,46,0.1923077
8,47,0.2433398
8,48,0.1971279
8,49,0.2190153
8,50,0.2448549
8,51,0.2238806
8,52,0.2278852
8,53,0.2388398
8,54,0.238396
8,55,0.18113
8,56,0.2347758
9,10,0.1785584
9,11,0.1945561
9,12,0.1610599
9,13,0.2398988
9,14,0.1353763
9,15,0.2449026
9,16,0.2318669
9,17,0.2234744
9,18,0.2327834
9,19,0.2295032
9,20,0.2258538
9,21,0.1293025
9,22,0.213398
9,23,0.1764188
9,26,0.2278446
9,27,0.2228006
9,28,0.210681
9,29,0.1963787
9,30,0.2138896
9,31,0.2378674
9,32,0.2070253
9,33,0.176884
9,34,0.2360774
9,35,0.22473
9,36,0.2348622
9,37,0.2038519
9,38,0.235089
9,39,0.1951688
9,40,0.2243678
9,41,0.2282732
9,42,0.1220863
9,43,0.2066305
9,44,0.237513
9,45,0.2451968
9,46,0.1930507
9,47,0.2412333
9,48,0.207014
9,49,0.2135538
9,50,0.2459258
9,51,0.2155414
9,52,0.2212235
9,53,0.2438012
9,54,0.2393065
9,55,0.1833759
9,56,0.2261233
10,11,0.2181714
10,12,0.2090837
10,13,0.2318717
10,14,0.1487281
10,15,0.236549
10,16,0.2273457
10,17,0.2216102
10,18,0.2396299
10,19,0.2262996
10,20,0.228517
10,21,0.1760202
10,22,0.2125289
10,23,0.2109676
10,26,0.2270347
10,27,0.2262915
10,28,0.1446134
10,29,0.2130419
10,30,0.1884244
10,31,0.2446638
10,32,0.2025346
10,33,0.2141912
10,34,0.2260392
10,35,0.2367663
10,36,0.2321318
10,37,0.2283682
10,38,0.232066
10,39,0.2137949
10,40,0.2195762
10,41,0.2313078
10,42,0.1979583
10,43,0.2116689
10,44,0.2327665
10,45,0.2423194
10,46,0.2231568
10,47,0.2307988
10,48,0.2225514
10,49,0.2266494
10,50,0.233876
10,51,0.2273028
10,52,0.2323033
10,53,0.2422437
10,54,0.2351952
10,55,0.1551486
10,56,0.2245095
11,12,0.2074362
11,13,0.2309767
11,14,0.2016953
11,15,0.2262202
11,16,0.2169634
11,17,0.2286057
11,18,0.2258357
11,19,0.2091865
11,20,0.2280302
11,21,0.20115
11,22,0.2131913
11,23,0.2049499
11,26,0.215043
11,27,0.2206478
11,28,0.2310809
11,29,0.2201095
11,30,0.2267492
11,31,0.2472466
11,32,0.214519
11,33,0.2096609
11,34,0.2366748
11,35,0.2284803
11,36,0.2227596
11,37,0.221481
11,38,0.2302751
11,39,0.2170332
11,40,0.2331708
11,41,0.2309138
11,42,0.2017568
11,43,0.220687
11,44,0.2319552
11,45,0.2432446
11,46,0.2151947
11,47,0.2168285
11,48,0.2212752
11,49,0.2042402
11,50,0.2346939
11,51,0.2111223
11,52,0.2019079
11,53,0.2206184
11,54,0.2180305
11,55,0.2085371
11,56,0.2096822
12,13,0.2325997
12,14,0.1723996
12,15,0.2472753
12,16,0.2427986
12,17,0.2120673
12,18,0.240844
12,19,0.2393766
12,20,0.2328448
12,21,0.1693626
12,22,0.220052
12,23,0.1493744
12,26,0.2216536
12,27,0.2156537
12,28,0.2296182
12,29,0.1908027
12,30,0.2291188
12,31,0.2388277
12,32,0.214253
12,33,0.1668865
12,34,0.237936
12,35,0.2252752
12,36,0.2343433
12,37,0.2034337
12,38,0.2243316
12,39,0.1898016
12,40,0.2276991
12,41,0.226921
12,42,0.1236406
12,43,0.2125563
12,44,0.2400183
12,45,0.2483495
12,46,0.1771972
12,47,0.2381316
12,48,0.203358
12,49,0.2061529
12,50,0.2481233
12,51,0.2027817
12,52,0.2177861
12,53,0.2411488
12,54,0.2422585
12,55,0.2030446
12,56,0.2297878
13,14,0.2343094
13,15,0.2380844
13,16,0.2365083
13,17,0.2192632
13,18,0.2387399
13,19,0.2440579
13,20,0.222056
13,21,0.2425004
13,22,0.2165889
13,23,0.23298
13,26,0.2331982
13,27,0.2270233
13,28,0.2280288
13,29,0.2307281
13,30,0.2293858
13,31,0.2427203
13,32,0.2280202
13,33,0.2272815
13,34,0.2337603
13,35,0.229279
13,36,0.2235977
13,37,0.2322003
13,38,0.2339295
13,39,0.2302317
13,40,0.2329725
13,41,0.2286086
13,42,0.2365965
13,43,0.2341633
13,44,0.2281716
13,45,0.244376
13,46,0.2295127
13,47,0.2309119
13,48,0.2304471
13,49,0.2241188
13,50,0.2386291
13,51,0.187452
13,52,0.230107
13,53,0.2305099
13,54,0.2298612
13,55,0.2261645
13,56,0.2245126
14,15,0.2324865
14,16,0.224994
14,17,0.2072231
14,18,0.2332978
14,19,0.2239801
14,20,0.2208904
14,21,0.1524735
14,22,0.2058118
14,23,0.1780367
14,26,0.2163241
14,27,0.2131332
14,28,0.1927374
14,29,0.1757706
14,30,0.200615
14,31,0.2387596
14,32,0.1730733
14,33,0.1766955
14,34,0.2185455
14,35,0.2202475
14,36,0.2212107
14,37,0.2042308
14,38,0.2231263
14,39,0.180654
14,40,0.2134293
14,41,0.2181082
14,42,0.1380459
14,43,0.1752679
14,44,0.229616
14,45,0.2339128
14,46,0.1945063
14,47,0.2263282
14,48,0.2004907
14,49,0.2136929
14,50,0.2346712
14,51,0.2173249
14,52,0.2145222
14,53,0.2339053
14,54,0.2291121
14,55,0.1754032
14,56,0.2189256
15,16,0.2307692
15,17,0.2377756
15,18,0.2287444
15,19,0.2185631
15,20,0.23825
15,21,0.2428597
15,22,0.2188924
15,23,0.2386436
15,26,0.2364621
15,27,0.2381453
15,28,0.2321742
15,29,0.2346048
15,30,0.2280694
15,31,0.2450334
15,32,0.2314486
15,33,0.2327743
15,34,0.2365676
15,35,0.2480595
15,36,0.2400287
15,37,0.2319351
15,38,0.2433119
15,39,0.2368282
15,40,0.237013
15,41,0.2417746
15,42,0.2382943
15,43,0.2322472
15,44,0.2371765
15,45,0.2493933
15,46,0.2355717
15,47,0.2344746
15,48,0.2364274
15,49,0.2356634
15,50,0.236636
15,51,0.2386952
15,52,0.2379599
15,53,0.2177864
15,54,0.2050774
15,55,0.2304405
15,56,0.2373008
16,17,0.2276437
16,18,0.2167786
16,19,0.2259385
16,20,0.2181534
16,21,0.2370975
16,22,0.2045455
16,23,0.2322139
16,26,0.1970895
16,27,0.2339434
16,28,0.2237195
16,29,0.2206181
16,30,0.2216777
16,31,0.2307273
16,32,0.2282878
16,33,0.2126806
16,34,0.2294152
16,35,0.220007
16,36,0.1981314
16,37,0.2213359
16,38,0.2313236
16,39,0.2204777
16,40,0.2302043
16,41,0.225872
16,42,0.2333593
16,43,0.2252303
16,44,0.2274734
16,45,0.2392631
16,46,0.2239225
16,47,0.1435587
16,48,0.2259238
16,49,0.2087926
16,50,0.1456739
16,51,0.2215007
16,52,0.2194831
16,53,0.2263605
16,54,0.2341095
16,55,0.2195823
16,56,0.2165234
17,18,0.2373142
17,19,0.2305865
17,20,0.2181028
17,21,0.2228523
17,22,0.2150005
17,23,0.2096789
17,26,0.2173718
17,27,0.2150141
17,28,0.2078383
17,29,0.2070344
17,30,0.2054059
17,31,0.2440306
17,32,0.2117565
17,33,0.2106679
17,34,0.227206
17,35,0.2268485
17,36,0.2184052
17,37,0.1984288
17,38,0.2208966
17,39,0.2124978
17,40,0.2210796
17,41,0.2222016
17,42,0.2129954
17,43,0.2067645
17,44,0.2258124
17,45,0.2366267
17,46,0.1934596
17,47,0.2244492
17,48,0.2221217
17,49,0.2091438
17,50,0.2363414
17,51,0.2234653
17,52,0.2219551
17,53,0.2259131
17,54,0.2179765
17,55,0.2153732
17,56,0.2174155
18,19,0.2330663
18,20,0.2325422
18,21,0.2353764
18,22,0.2126225
18,23,0.2403106
18,26,0.2330861
18,27,0.2409685
18,28,0.2383759
18,29,0.2346439
18,30,0.2352232
18,31,0.2417058
18,32,0.2356747
18,33,0.2323614
18,34,0.2221274
18,35,0.2468363
18,36,0.2333585
18,37,0.2251566
18,38,0.2457703
18,39,0.2335958
18,40,0.2318674
18,41,0.2381047
18,42,0.2338929
18,43,0.2330728
18,44,0.2365126
18,45,0.2407985
18,46,0.2484369
18,47,0.2389134
18,48,0.2382797
18,49,0.2264164
18,50,0.2335752
18,51,0.2401073
18,52,0.2371353
18,53,0.2404004
18,54,0.2320508
18,55,0.2282048
18,56,0.2334075
19,20,0.2391814
19,21,0.2375502
19,22,0.2189004
19,23,0.2400716
19,26,0.2355617
19,27,0.2425639
19,28,0.2339256
19,29,0.2313142
19,30,0.2353193
19,31,0.2517795
19,32,0.2292872
19,33,0.228166
