pop1,pop2,prpshrd
1,2,0.2217201
1,3,0.2255906
1,4,0.2303605
1,5,0.2268843
1,6,0.2469273
1,7,0.2245667
1,8,0.2234018
1,9,0.2336698
1,10,0.2361837
1,11,0.2193539
1,12,0.2255306
1,13,0.2094103
1,14,0.233434
1,15,0.2316945
1,16,0.2324479
1,17,0.2252807
1,18,0.2398281
1,19,0.2291129
1,20,0.2268232
1,21,0.23317
1,22,0.2185325
1,23,0.1947254
1,24,0.2309819
1,25,0.2279462
1,26,0.2170381
1,27,0.2263868
1,28,0.2219246
1,29,0.2201538
1,31,0.2390772
1,32,0.1316277
1,33,0.2372098
1,34,0.1809505
1,35,0.2275589
1,36,0.2272428
1,37,0.2222694
1,38,0.2328294
1,39,0.2225631
1,40,0.2329936
1,41,0.2421762
1,42,0.2172722
1,43,0.2269814
1,44,0.2275723
1,45,0.2199443
1,46,0.2288775
1,47,0.2302872
1,48,0.2309376
1,49,0.2354745
1,50,0.1838574
1,51,0.227508
1,52,0.1491494
1,53,0.2316574
1,54,0.2347139
1,55,0.2301944
1,56,0.239054
1,57,0.2436779
1,58,0.2462059
1,59,0.239154
1,60,0.2388895
1,61,0.246927
1,62,0.1408146
1,63,0.2373367
1,64,0.2381733
1,65,0.2388463
1,66,0.2371624
1,67,0.2327813
1,68,0.2360956
1,69,0.2261269
1,70,0.2361344
1,71,0.2352825
1,72,0.237796
1,73,0.2318215
1,74,0.2343039
1,75,0.2382944
1,76,0.2344821
1,78,0.225249
2,3,0.2096841
2,4,0.2231605
2,5,0.2353423
2,6,0.2318601
2,7,0.2093329
2,8,0.2314559
2,9,0.2293561
2,10,0.2317494
2,11,0.2257771
2,12,0.2229338
2,13,0.2074957
2,14,0.2038058
2,15,0.2228527
2,16,0.2274745
2,17,0.2118086
2,18,0.2337188
2,19,0.2184907
2,20,0.2135303
2,21,0.2317981
2,22,0.2268762
2,23,0.2175047
2,24,0.2253565
2,25,0.220545
2,26,0.2125899
2,27,0.2294674
2,28,0.2210811
2,29,0.2122809
2,31,0.2317287
2,32,0.2212337
2,33,0.2335789
2,34,0.2231701
2,35,0.2243769
2,36,0.1425434
2,37,0.2142556
2,38,0.1825454
2,39,0.2273749
2,40,0.2125284
2,41,0.2386514
2,42,0.2140123
2,43,0.2162391
2,44,0.2176857
2,45,0.2281803
2,46,0.2235534
2,47,0.2257864
2,48,0.2474517
2,49,0.2308075
2,50,0.2005719
2,51,0.2232293
2,52,0.2372589
2,53,0.2315345
2,54,0.2227825
2,55,0.2380713
2,56,0.2259039
2,57,0.225962
2,58,0.2317908
2,59,0.2375458
2,60,0.2360424
2,61,0.2337733
2,62,0.2311687
2,63,0.2263102
2,64,0.2167108
2,65,0.214782
2,66,0.2362269
2,67,0.2445098
2,68,0.2242294
2,69,0.1890178
2,70,0.2371694
2,71,0.2331759
2,72,0.21506
2,73,0.2016063
2,74,0.1767042
2,75,0.223216
2,76,0.2234343
2,78,0.2235237
3,4,0.2018453
3,5,0.2369594
3,6,0.2416959
3,7,0.1998462
3,8,0.2159923
3,9,0.2301913
3,10,0.227402
3,11,0.2250126
3,12,0.2226957
3,13,0.2194329
3,14,0.1808979
3,15,0.2377292
3,16,0.2293618
3,17,0.2111339
3,18,0.2412053
3,19,0.2198912
3,20,0.1935215
3,21,0.2306298
3,22,0.2274432
3,23,0.2150093
3,24,0.2290749
3,25,0.2165822
3,26,0.2157846
3,27,0.2286646
3,28,0.1998928
3,29,0.2229211
3,31,0.2356494
3,32,0.2210907
3,33,0.2321584
3,34,0.227136
3,35,0.2275749
3,36,0.2360519
3,37,0.2195297
3,38,0.2072585
3,39,0.2179004
3,40,0.1766932
